term,strongs,book,chapter,verse,lxx_word,case,number
λόγος,G3056,2Ki,24,2,λόγον,Accusative,Singular
λόγος,G3056,2Ki,24,5,λόγων,Genitive,Plural
λόγος,G3056,2Ki,24,5,λόγων,Genitive,Plural
λόγος,G3056,2Ki,25,30,λόγον,Accusative,Singular
λόγος,G3056,1Ch,10,13,λόγον,Accusative,Singular
λόγος,G3056,1Ch,11,3,λόγον,Accusative,Singular
λόγος,G3056,1Ch,11,10,λόγον,Accusative,Singular
λόγος,G3056,1Ch,12,24,λόγον,Accusative,Singular
λόγος,G3056,1Ch,13,4,λόγος,Nominative,Singular
λόγος,G3056,1Ch,15,15,λόγῳ,Dative,Singular
λόγος,G3056,1Ch,16,15,λόγον,Accusative,Singular
λόγος,G3056,1Ch,17,3,λόγος,Nominative,Singular
λόγος,G3056,1Ch,17,15,λόγους,Accusative,Plural
λόγος,G3056,1Ch,17,23,λόγος,Nominative,Singular
λόγος,G3056,1Ch,21,6,λόγος,Nominative,Singular
λόγος,G3056,1Ch,21,12,λόγον,Accusative,Singular
λόγος,G3056,1Ch,21,19,λόγον,Accusative,Singular
λόγος,G3056,1Ch,22,8,λόγος,Nominative,Singular
λόγος,G3056,1Ch,23,27,λόγοις,Dative,Plural
λόγος,G3056,1Ch,25,5,λόγοις,Dative,Plural
λόγος,G3056,1Ch,26,32,λόγον,Accusative,Singular
λόγος,G3056,1Ch,27,1,λόγον,Accusative,Singular
λόγος,G3056,1Ch,27,1,λόγον,Accusative,Singular
λόγος,G3056,1Ch,27,24,λόγων,Genitive,Plural
λόγος,G3056,1Ch,28,21,λόγους,Accusative,Plural
λόγος,G3056,1Ch,29,29,λόγοι,Nominative,Plural
λόγος,G3056,1Ch,29,29,λόγοις,Dative,Plural
λόγος,G3056,1Ch,29,29,λόγων,Genitive,Plural
λόγος,G3056,1Ch,29,29,λόγων,Genitive,Plural
λόγος,G3056,2Ch,6,10,λόγον,Accusative,Singular
λόγος,G3056,2Ch,8,13,λόγον,Accusative,Singular
λόγος,G3056,2Ch,8,14,λόγον,Accusative,Singular
λόγος,G3056,2Ch,8,15,λόγον,Accusative,Singular
λόγος,G3056,2Ch,9,2,λόγους,Accusative,Plural
λόγος,G3056,2Ch,9,2,λόγος,Nominative,Singular
λόγος,G3056,2Ch,9,5,λόγος,Nominative,Singular
λόγος,G3056,2Ch,9,5,λόγων,Genitive,Plural
λόγος,G3056,2Ch,9,6,λόγοις,Dative,Plural
λόγος,G3056,2Ch,9,29,λόγοι,Nominative,Plural
λόγος,G3056,2Ch,9,29,λόγων,Genitive,Plural
λόγος,G3056,2Ch,9,29,λόγων,Genitive,Plural
λόγος,G3056,2Ch,10,6,λόγον,Accusative,Singular
λόγος,G3056,2Ch,10,7,λόγους,Accusative,Plural
λόγος,G3056,2Ch,10,9,λόγον,Accusative,Singular
λόγος,G3056,2Ch,10,15,λόγον,Accusative,Singular
λόγος,G3056,2Ch,11,2,λόγος,Nominative,Singular
λόγος,G3056,2Ch,11,4,λόγου,Genitive,Singular
λόγος,G3056,2Ch,12,7,λόγος,Nominative,Singular
λόγος,G3056,2Ch,12,12,λόγοι,Nominative,Plural
λόγος,G3056,2Ch,12,15,λόγοι,Nominative,Plural
λόγος,G3056,2Ch,12,15,λόγοις,Dative,Plural
λόγος,G3056,2Ch,13,22,λόγοι,Nominative,Plural
λόγος,G3056,2Ch,13,22,λόγοι,Nominative,Plural
λόγος,G3056,2Ch,15,8,λόγους,Accusative,Plural
λόγος,G3056,2Ch,16,11,λόγοι,Nominative,Plural
λόγος,G3056,2Ch,18,12,λόγοι,Nominative,Plural
λόγος,G3056,2Ch,18,18,λόγον,Accusative,Singular
λόγος,G3056,2Ch,19,3,λόγοι,Nominative,Plural
λόγος,G3056,2Ch,19,6,λόγοι,Nominative,Plural
λόγος,G3056,2Ch,19,11,λόγον,Accusative,Singular
λόγος,G3056,2Ch,19,11,λόγον,Accusative,Singular
λόγος,G3056,2Ch,20,34,λόγοι,Nominative,Plural
λόγος,G3056,2Ch,20,34,λόγοις,Dative,Plural
λόγος,G3056,2Ch,23,4,λόγος,Nominative,Singular
λόγος,G3056,2Ch,25,26,λόγοι,Nominative,Plural
λόγος,G3056,2Ch,26,22,λόγοι,Nominative,Plural
λόγος,G3056,2Ch,27,7,λόγοι,Nominative,Plural
λόγος,G3056,2Ch,28,26,λόγοι,Nominative,Plural
λόγος,G3056,2Ch,29,30,λόγοις,Dative,Plural
λόγος,G3056,2Ch,29,36,λόγος,Nominative,Singular
λόγος,G3056,2Ch,30,4,λόγος,Nominative,Singular
λόγος,G3056,2Ch,30,5,λόγον,Accusative,Singular
λόγος,G3056,2Ch,30,12,λόγῳ,Dative,Singular
λόγος,G3056,2Ch,31,5,λόγον,Accusative,Singular
λόγος,G3056,2Ch,31,16,λόγον,Accusative,Singular
λόγος,G3056,2Ch,32,1,λόγους,Accusative,Plural
λόγος,G3056,2Ch,32,8,λόγοις,Dative,Plural
λόγος,G3056,2Ch,32,32,λόγων,Genitive,Plural
λόγος,G3056,2Ch,33,18,λόγων,Genitive,Plural
λόγος,G3056,2Ch,33,18,λόγοι,Nominative,Plural
λόγος,G3056,2Ch,33,18,λόγων,Genitive,Plural
λόγος,G3056,2Ch,33,19,λόγων,Genitive,Plural
λόγος,G3056,2Ch,34,16,λόγον,Accusative,Singular
λόγος,G3056,2Ch,34,19,λόγους,Accusative,Plural
λόγος,G3056,2Ch,34,21,λόγων,Genitive,Plural
λόγος,G3056,2Ch,34,21,λόγων,Genitive,Plural
λόγος,G3056,2Ch,34,24,λόγους,Accusative,Plural
λόγος,G3056,2Ch,34,26,λόγους,Accusative,Plural
λόγος,G3056,2Ch,34,27,λόγους,Accusative,Plural
λόγος,G3056,2Ch,34,28,λόγον,Accusative,Singular
λόγος,G3056,2Ch,34,30,λόγους,Accusative,Plural
λόγος,G3056,2Ch,34,31,λόγους,Accusative,Plural
